epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
127,685.56,1.02624,0.64692,0.01393,0.00078,0.76717,0.85244,0.86146,0.61211,0.92683,0.60895,0.02236,9e-05,0.00145906,0.00145906,0.00145906
128,690.617,1.04428,0.64214,0.01339,0.00082,0.80801,0.84398,0.85382,0.58572,0.93898,0.55458,0.02292,8e-05,0.00145741,0.00145741,0.00145741
129,696.1,1.05164,0.64409,0.01518,0.00075,0.82786,0.82925,0.85903,0.59657,0.99039,0.56393,0.02823,9e-05,0.00145576,0.00145576,0.00145576
130,700.956,1.07945,0.66961,0.01584,0.00087,0.7802,0.83453,0.84574,0.56625,0.9629,0.60487,0.02418,0.0001,0.00145411,0.00145411,0.00145411
131,706.254,1.0579,0.65989,0.01537,0.00081,0.81089,0.7741,0.83137,0.55322,1.02761,0.64014,0.03152,8e-05,0.00145246,0.00145246,0.00145246
132,710.98,1.06164,0.66008,0.01506,0.00093,0.81816,0.82119,0.85538,0.58296,0.97661,0.54667,0.02686,8e-05,0.00145081,0.00145081,0.00145081
133,715.822,1.04208,0.64627,0.01445,0.00076,0.80109,0.83431,0.85637,0.5702,0.97705,0.58587,0.02388,8e-05,0.00144916,0.00144916,0.00144916
134,721.808,1.06054,0.65739,0.01569,0.00069,0.83669,0.77578,0.84372,0.57299,0.98191,0.70439,0.02264,9e-05,0.00144751,0.00144751,0.00144751
135,727.201,1.10247,0.63821,0.01354,0.00092,0.74821,0.85429,0.84857,0.53384,1.17771,0.71953,0.0281,0.00011,0.00144586,0.00144586,0.00144586
136,732.189,1.04655,0.65777,0.01547,0.00069,0.81602,0.83065,0.86069,0.58387,1.01056,0.57673,0.02322,9e-05,0.00144421,0.00144421,0.00144421
137,737.314,1.05288,0.63616,0.0152,0.00072,0.82002,0.83084,0.85388,0.59816,0.93866,0.59875,0.02164,9e-05,0.00144256,0.00144256,0.00144256
138,742.931,1.03359,0.6197,0.01395,0.00081,0.84285,0.84491,0.86551,0.59686,0.97394,0.57181,0.02085,9e-05,0.0014409,0.0014409,0.0014409
139,748.221,1.02348,0.64523,0.0131,0.00068,0.80042,0.82576,0.85266,0.56663,0.93969,0.56477,0.02428,9e-05,0.00143925,0.00143925,0.00143925
140,753.69,1.00549,0.6126,0.01317,0.00069,0.80357,0.84807,0.83637,0.55416,1.02482,0.57793,0.02327,0.0001,0.0014376,0.0014376,0.0014376
